slug,url
bpb7,"https://livetv.biz.id/play1.php?watch=MFBC Leipzig vs Weissenfels"
y2w7,"https://livetv.biz.id/play1.php?watch=Chemnitz vs Bonn"
j2o8,"https://livetv.biz.id/play1.php?watch=Vannes vs Toulouse"
zf8d,"https://livetv.biz.id/play1.php?watch=North Harbour vs Canterbury"
gkk2,"https://livetv.biz.id/play1.php?watch=Taranaki vs Southland"
spv3,"https://livetv.biz.id/play1.php?watch=Strela vs Slava"
14lm,"https://livetv.biz.id/play1.php?watch=Ireland (W) vs USA (W)"
h7l6,"https://livetv.biz.id/play1.php?watch=Biltmore Championship vs"
ncjf,"https://livetv.biz.id/play1.php?watch=BMW Championships vs"
ggki,"https://livetv.biz.id/play1.php?watch=La Sella Open vs"
gyqp,"https://livetv.biz.id/play1.php?watch=WTT Star Contender  Astana vs"
oopi,"https://livetv.biz.id/play1.php?watch=WTT Star Contender  Astana vs"
2dx0,"https://livetv.biz.id/play1.php?watch=World Cup vs"
m3w2,"https://livetv.biz.id/play1.php?watch=World Championships  Montreal vs"
q22j,"https://livetv.biz.id/play1.php?watch=World Championships  Montreal vs"
fcti,"https://livetv.biz.id/play1.php?watch=Australia vs Zimbabwe"
m3jg,"https://livetv.biz.id/play1.php?watch=Knights vs Lions"
l4is,"https://livetv.biz.id/play1.php?watch=Rocks vs North West"
4qh7,"https://livetv.biz.id/play1.php?watch=Warriors vs Titans"
anz1,"https://livetv.biz.id/play1.php?watch=Western Province vs Dolphins"
wos7,"https://livetv.biz.id/play1.php?watch=Leicestershire vs Middlesex"
xapg,"https://livetv.biz.id/play1.php?watch=Panhellenic Marathon vs"
1xps,"https://livetv.biz.id/play1.php?watch=Chess Olympiad vs"
x298,"https://livetv.biz.id/play1.php?watch=GWS Giants (W) vs  Richmond Tigers (W)"
hk7e,"https://livetv.biz.id/play1.php?watch=Essendon Bombers (W) vs  Gold Coast Suns (W)"
sykr,"https://livetv.biz.id/play1.php?watch=St Kilda (W) vs  West Coast Eagles (W)"
9b2i,"https://livetv.biz.id/play1.php?watch=Brisbane Lions (W) vs  Adelaide Crows (W)"
1fmb,"https://livetv.biz.id/play1.php?watch=Strongest Cup vs"
asor,"https://livetv.biz.id/play1.php?watch=Strongest Cup vs"
qyo3,"https://livetv.biz.id/play1.php?watch=Strongest Cup vs"
cgxp,"https://livetv.biz.id/play1.php?watch=Russian Championship vs"
f91f,"https://livetv.biz.id/play1.php?watch=Strongest Cup vs"
1lvp,"https://livetv.biz.id/play1.php?watch=Swiss Grand Prix vs"
59df,"https://livetv.biz.id/play1.php?watch=Nations League vs"
mq4l,"https://livetv.biz.id/play1.php?watch=World Cup vs"
ci35,"https://livetv.biz.id/play1.php?watch=World Series  Chongqing vs"
9r7f,"https://livetv.biz.id/play1.php?watch=World Series  Chongqing vs"
pus5,"https://livetv.biz.id/play1.php?watch=UFC 331 vs"
spg6,"https://livetv.biz.id/play1.php?watch=Joshua Van vs Alexandre Pantoja"
